dataset_type,mete_type,var_name,mete_var,default_unit,support_unit,var_desc
opensource,icon_surface,Net short wave radiation flux on model top,nswrf_top,W/m^2,,[预处理]模型顶层净短波辐射通量
opensource,icon_surface,"Net short-wave radiation flux, clear sky",nswrfcs,W/m^2,,[预处理]晴空净短波辐射通量
opensource,icon_surface,Downward diffusive short wave radiation flux at surface,dswdif,W/m^2,,[预处理]地表向下散射短波辐射通量
opensource,icon_surface,Upward diffusive short wave radiation flux at surface,uswdif,W/m^2,,[预处理]地表向上散射短波辐射通量
opensource,icon_surface,Downward direct short wave radiation flux at surface,dswdir,W/m^2,,[预处理]地表向下直射短波辐射通量
opensource,icon_surface,Net long wave radiation flux at surface,nlwrf,W/m^2,,地表净长波辐射通量
opensource,icon_surface,Net long wave radiation flux on model top,nlwrf_top,W/m^2,,模型顶层净长波辐射通量
opensource,icon_surface,Cloud Cover (0 - 400 hPa),hcc,%,"[0,1]",云量 (0 - 400 hPa)
opensource,icon_surface,Cloud Cover (800 hPa - Soil),lcc,%,"[0,1]",云量 (800 hPa - 土壤)
opensource,icon_surface,Cloud Cover (400 - 800 hPa),mcc,%,"[0,1]",云量 (400 - 800 hPa)
opensource,icon_surface,Total Cloud Cover,tcc,%,"[0,1]",总云量
opensource,icon_surface,Soil Temperature,t_s,K,C | F,土壤温度
opensource,aifs_surface,2 metre temperature,t2m,K,C | F,地面2米气温
opensource,aifs_surface,2 metre dewpoint temperature,d2m,K,C | F,地面2米露点温度
opensource,aifs_surface,skin temperature,skt,K,C | F,地表温度
opensource,aifs_surface,wet bulb temp,wbt,K,C | F,[预处理]湿球温度
opensource,aifs_surface,surface short-wave (solar) radiation downwards accumulated,ssrd-acc,J/m^2,,[原始累积值] 地表下行短波（太阳）辐射<br>从大气向地表辐射的短波(太阳)辐射通量，短波指可见光和近红外<br>是光伏发电的主要能源来源
opensource,aifs_surface,surface long-wave (thermal) radiation downwards accumulated,strd-acc,J/m^2,,[原始累积值] 地表下行长波（热）辐射
opensource,aifs_surface,surface short-wave (solar) radiation downwards,ssrd,W/m^2,,[预处理] 地表下行短波（太阳）辐射<br>从大气向地表辐射的短波(太阳)辐射通量，短波指可见光和近红外<br>是光伏发电的主要能源来源
opensource,aifs_surface,surface long-wave (thermal) radiation downwards,strd,W/m^2,,[预处理] 地表下行长波（热）辐射
opensource,aifs_surface,total cloud cover,tcc,"[0,1]",%,总云量
opensource,aifs_surface,low cloud cover,lcc,"[0,1]",%,低云量
opensource,aifs_surface,mid cloud cover,mcc,"[0,1]",%,中云量
opensource,aifs_surface,high cloud cover,hcc,"[0,1]",%,高云量
opensource,gfs_surface,temperature (2m),t2m,K,C | F,地面2米气温
opensource,gfs_surface,dewpoint (2m),d2m,K,C | F,地面2米露点温度
opensource,gfs_surface,skin temperature,skt,K,C | F,地表温度
